AU,ex
1.225644248900062822e-01,0.000000000000000000e+00
3.373015873015873245e-01,0.000000000000000000e+00
2.386856788592684464e-01,0.000000000000000000e+00
1.115591397849462346e-01,0.000000000000000000e+00
1.745406824146981672e-01,0.000000000000000000e+00
2.091988130563798287e-01,0.000000000000000000e+00
2.584269662921348520e-01,0.000000000000000000e+00
3.186490455212921957e-01,0.000000000000000000e+00
2.100098135426889112e-01,0.000000000000000000e+00
4.663865546218487479e-01,0.000000000000000000e+00
2.742491383554899187e-01,0.000000000000000000e+00
2.554179566563467563e-01,0.000000000000000000e+00
1.569271175311884314e-01,0.000000000000000000e+00
5.077551020408163085e-01,0.000000000000000000e+00
4.438444924406047543e-01,0.000000000000000000e+00
2.605863192182410540e-02,0.000000000000000000e+00
2.687423187218352938e-01,0.000000000000000000e+00
7.812500000000000000e-02,0.000000000000000000e+00
2.024922118380062253e-01,0.000000000000000000e+00
1.980198019801980291e-01,0.000000000000000000e+00
4.970059880239520722e-01,0.000000000000000000e+00
2.039935240151106444e-01,0.000000000000000000e+00
3.338704479535932745e-01,0.000000000000000000e+00
1.870061457418788486e-01,0.000000000000000000e+00
1.836917562724014463e-01,0.000000000000000000e+00
1.950832672482157026e-01,0.000000000000000000e+00
5.342066957787481307e-01,0.000000000000000000e+00
1.861667744020685245e-01,0.000000000000000000e+00
7.003891050583657685e-02,0.000000000000000000e+00
1.225680933852140025e-01,0.000000000000000000e+00
2.417218543046357748e-01,0.000000000000000000e+00
4.035087719298245390e-01,0.000000000000000000e+00
1.042728341826734545e-01,0.000000000000000000e+00
2.647385984427141348e-01,0.000000000000000000e+00
1.284440842787682446e-01,0.000000000000000000e+00
2.790697674418604612e-01,0.000000000000000000e+00
3.220338983050847204e-01,0.000000000000000000e+00
3.899371069182390181e-01,0.000000000000000000e+00
2.042072857875833758e-01,0.000000000000000000e+00
2.071611253196931068e-01,0.000000000000000000e+00
1.388888888888888951e-01,0.000000000000000000e+00
2.926829268292682751e-01,0.000000000000000000e+00
2.546583850931676829e-01,0.000000000000000000e+00
1.800356506238859067e-01,0.000000000000000000e+00
6.068301225919439101e-01,0.000000000000000000e+00
4.030950626381724633e-01,0.000000000000000000e+00
1.324850299401197640e-01,0.000000000000000000e+00
