AU,ex
8.385448916408676234e-02,0.000000000000000000e+00
5.959064327485377732e-02,0.000000000000000000e+00
1.571761280931586180e-01,0.000000000000000000e+00
6.610778443113776714e-02,0.000000000000000000e+00
1.591225165562915045e-01,0.000000000000000000e+00
1.176741573033707605e-01,0.000000000000000000e+00
3.958735733099210535e-02,0.000000000000000000e+00
6.775694893341960290e-02,0.000000000000000000e+00
9.957222566646002637e-02,0.000000000000000000e+00
5.030508474576272232e-02,0.000000000000000000e+00
9.310432569974548545e-02,0.000000000000000000e+00
1.098286604361370516e-01,0.000000000000000000e+00
5.277147487844410095e-02,0.000000000000000000e+00
9.922848664688428688e-02,0.000000000000000000e+00
2.444444444444444225e-02,0.000000000000000000e+00
7.151313210505677587e-02,0.000000000000000000e+00
6.833734939759035509e-02,0.000000000000000000e+00
6.988837820091925446e-02,0.000000000000000000e+00
1.159379615952734061e-01,0.000000000000000000e+00
6.579920739762219750e-02,0.000000000000000000e+00
1.139773204535909773e-01,0.000000000000000000e+00
5.692877860135345941e-02,0.000000000000000000e+00
1.325925925925926507e-01,0.000000000000000000e+00
9.275103980986321162e-02,0.000000000000000000e+00
1.724346859366318319e-01,0.000000000000000000e+00
5.534050179211469356e-02,0.000000000000000000e+00
4.674418604651163489e-02,0.000000000000000000e+00
8.245738636363633689e-02,0.000000000000000000e+00
5.744847890088323333e-02,0.000000000000000000e+00
9.001882352941183163e-02,0.000000000000000000e+00
8.636161952301735223e-02,0.000000000000000000e+00
6.525423728813566082e-02,0.000000000000000000e+00
7.179000000000008985e-02,0.000000000000000000e+00
3.786177105831532719e-02,0.000000000000000000e+00
5.953964194373401880e-02,0.000000000000000000e+00
1.074026946107785319e-01,0.000000000000000000e+00
8.370600414078674389e-02,0.000000000000000000e+00
7.530612244897973151e-02,0.000000000000000000e+00
7.095790609821912842e-02,0.000000000000000000e+00
1.032075471698112729e-01,0.000000000000000000e+00
9.159533073929962410e-02,0.000000000000000000e+00
2.320117474302496041e-01,0.000000000000000000e+00
9.469966629588434659e-02,0.000000000000000000e+00
6.852109791069233014e-02,0.000000000000000000e+00
8.822241681260950541e-02,0.000000000000000000e+00
7.890123848840900622e-02,0.000000000000000000e+00
3.603960396039602998e-02,0.000000000000000000e+00
3.596840257460506146e-02,0.000000000000000000e+00
4.388440860215053752e-02,0.000000000000000000e+00
4.226190476190477829e-02,0.000000000000000000e+00
7.634192331866751502e-02,0.000000000000000000e+00
3.302291204730227470e-02,0.000000000000000000e+00
1.115826330532212890e-01,0.000000000000000000e+00
1.274540682414697923e-01,0.000000000000000000e+00
1.029365079365079233e-01,0.000000000000000000e+00
1.188199076449460573e-01,0.000000000000000000e+00
5.459283387622147071e-02,0.000000000000000000e+00
6.218080888183979277e-02,0.000000000000000000e+00
6.870297029702968072e-02,1.000000000000000000e+00
7.647359454855197358e-02,1.000000000000000000e+00
1.190863453815261264e-01,1.000000000000000000e+00
7.014285714285711792e-02,1.000000000000000000e+00
9.173913043478258700e-02,1.000000000000000000e+00
1.000722394220846523e-01,1.000000000000000000e+00
8.902941176470589857e-02,1.000000000000000000e+00
9.823966942148759651e-02,1.000000000000000000e+00
6.422268907563026541e-02,1.000000000000000000e+00
6.532926829268292934e-02,1.000000000000000000e+00
4.771186440677966378e-01,1.000000000000000000e+00
5.403353927625773045e-02,1.000000000000000000e+00
1.133419689119171958e-01,1.000000000000000000e+00
7.232514177693757929e-02,1.000000000000000000e+00
5.295867768595036162e-02,1.000000000000000000e+00
1.018181818181817938e-01,1.000000000000000000e+00
1.216176470588235248e-01,1.000000000000000000e+00
5.089230769230770196e-02,1.000000000000000000e+00
2.471698113207547107e-02,1.000000000000000000e+00
1.852955665024629550e-01,1.000000000000000000e+00
6.517241379310345639e-02,1.000000000000000000e+00
3.877551020408163268e-02,1.000000000000000000e+00
9.303269447576090201e-02,1.000000000000000000e+00
1.425383304940374685e-01,1.000000000000000000e+00
1.287264150943396301e-01,1.000000000000000000e+00
5.605090311986865581e-02,1.000000000000000000e+00
5.221973094170401924e-02,1.000000000000000000e+00
5.831749049429661713e-02,1.000000000000000000e+00
7.736686390532551694e-02,1.000000000000000000e+00
1.082666666666666777e-01,1.000000000000000000e+00
8.154150197628459718e-02,1.000000000000000000e+00
1.048837209302325713e-01,1.000000000000000000e+00
9.387527839643654282e-02,1.000000000000000000e+00
6.933035714285711026e-02,1.000000000000000000e+00
6.526612903225800788e-02,1.000000000000000000e+00
8.742690058479531123e-02,1.000000000000000000e+00
2.987499999999999531e-02,1.000000000000000000e+00
1.652755905511810730e-01,1.000000000000000000e+00
8.515182186234829254e-02,1.000000000000000000e+00
7.962962962962961966e-02,1.000000000000000000e+00
6.362919132149902346e-02,1.000000000000000000e+00
7.093023255813953043e-02,1.000000000000000000e+00
7.047297297297297480e-02,1.000000000000000000e+00
8.384436701509880019e-02,1.000000000000000000e+00
1.076623376623377093e-01,1.000000000000000000e+00
1.587831513260530569e-01,1.000000000000000000e+00
