AU,ex
6.414086687306500556e-01,0.000000000000000000e+00
5.478362573099415656e-01,0.000000000000000000e+00
7.424890829694318350e-01,0.000000000000000000e+00
8.527305389221544463e-01,0.000000000000000000e+00
5.237499999999996048e-01,0.000000000000000000e+00
2.516292134831462080e-01,0.000000000000000000e+00
2.992449517120276403e-01,0.000000000000000000e+00
3.476664511958622583e-01,0.000000000000000000e+00
6.127960322380645586e-01,0.000000000000000000e+00
3.715593220338986313e-01,0.000000000000000000e+00
4.950890585241727870e-01,0.000000000000000000e+00
5.998753894080999238e-01,0.000000000000000000e+00
5.528727714748767896e-01,0.000000000000000000e+00
2.861721068249257205e-01,0.000000000000000000e+00
3.383333333333333193e-01,0.000000000000000000e+00
5.280987847902771648e-01,0.000000000000000000e+00
2.892048192771086712e-01,0.000000000000000000e+00
5.919632304661850419e-01,0.000000000000000000e+00
5.345937961595264021e-01,0.000000000000000000e+00
6.903698811096420362e-01,0.000000000000000000e+00
4.230449391012173210e-01,0.000000000000000000e+00
8.086915887850494311e-01,0.000000000000000000e+00
7.898711755233496223e-01,0.000000000000000000e+00
4.950920974450364054e-01,0.000000000000000000e+00
4.957754307948860628e-01,0.000000000000000000e+00
4.339157706093191291e-01,0.000000000000000000e+00
9.253488372093026104e-01,0.000000000000000000e+00
2.397159090909095347e-01,0.000000000000000000e+00
3.809617271835123997e-01,0.000000000000000000e+00
3.974164705882335391e-01,0.000000000000000000e+00
5.211869107043807237e-01,0.000000000000000000e+00
4.241156963890934106e-01,0.000000000000000000e+00
6.209299999999998709e-01,0.000000000000000000e+00
4.663714902807777340e-01,0.000000000000000000e+00
7.037851662404090991e-01,0.000000000000000000e+00
4.138772455089823055e-01,0.000000000000000000e+00
3.899723947550033931e-01,0.000000000000000000e+00
3.749224489795919268e-01,0.000000000000000000e+00
3.432595790609814235e-01,0.000000000000000000e+00
4.879874213836478125e-01,0.000000000000000000e+00
3.707198443579767799e-01,0.000000000000000000e+00
7.199608418991667591e-01,0.000000000000000000e+00
5.116073414905446537e-01,0.000000000000000000e+00
6.907333060221219068e-01,0.000000000000000000e+00
3.427670753064791520e-01,0.000000000000000000e+00
3.656303588440741326e-01,0.000000000000000000e+00
1.192846534653464241e+00,0.000000000000000000e+00
6.098829724985371792e-01,0.000000000000000000e+00
6.478897849462365022e-01,0.000000000000000000e+00
6.468849206349206460e-01,0.000000000000000000e+00
6.310559396605913696e-01,0.000000000000000000e+00
4.661714708056164946e-01,0.000000000000000000e+00
6.770168067226889352e-01,0.000000000000000000e+00
1.748425196850395824e-01,0.000000000000000000e+00
5.619523809523810920e-01,0.000000000000000000e+00
4.508158029758844720e-01,0.000000000000000000e+00
4.033631921824102906e-01,0.000000000000000000e+00
4.572561459159402708e-01,0.000000000000000000e+00
6.305940594059407101e-01,1.000000000000000000e+00
5.988500851788745027e-01,1.000000000000000000e+00
3.843473895582328326e-01,1.000000000000000000e+00
5.149714285714286355e-01,1.000000000000000000e+00
6.451449275362320934e-01,1.000000000000000000e+00
3.301960784313720532e-01,1.000000000000000000e+00
6.322941176470583402e-01,1.000000000000000000e+00
6.390578512396692945e-01,1.000000000000000000e+00
3.658823529411766584e-01,1.000000000000000000e+00
4.677317073170726980e-01,1.000000000000000000e+00
1.086016949152542432e+00,1.000000000000000000e+00
4.235304501323916004e-01,1.000000000000000000e+00
1.509196891191710022e-01,1.000000000000000000e+00
5.393572778827974146e-01,1.000000000000000000e+00
5.899008264462803908e-01,1.000000000000000000e+00
3.964705882352942967e-01,1.000000000000000000e+00
6.753676470588236835e-01,1.000000000000000000e+00
4.817999999999999505e-01,1.000000000000000000e+00
3.269811320754715811e-01,1.000000000000000000e+00
6.835467980295560908e-01,1.000000000000000000e+00
3.700000000000000511e-01,1.000000000000000000e+00
4.318367346938776219e-01,1.000000000000000000e+00
4.181623449830887962e-01,1.000000000000000000e+00
7.758091993185683988e-01,1.000000000000000000e+00
5.263207547169813649e-01,1.000000000000000000e+00
3.148193760262726348e-01,1.000000000000000000e+00
5.075336322869956618e-01,1.000000000000000000e+00
6.396102661596951844e-01,1.000000000000000000e+00
5.681804733727814360e-01,1.000000000000000000e+00
5.674666666666671189e-01,1.000000000000000000e+00
6.400790513833989337e-01,1.000000000000000000e+00
5.230813953488375745e-01,1.000000000000000000e+00
8.327839643652558133e-01,1.000000000000000000e+00
6.772767857142866221e-01,1.000000000000000000e+00
3.467258064516124394e-01,1.000000000000000000e+00
1.208187134502924254e+00,1.000000000000000000e+00
9.692500000000002780e-01,1.000000000000000000e+00
5.596062992125983016e-01,1.000000000000000000e+00
3.357894736842106931e-01,1.000000000000000000e+00
9.878703703703703987e-01,1.000000000000000000e+00
7.256903353057191364e-01,1.000000000000000000e+00
2.948837209302325735e-01,1.000000000000000000e+00
5.797702702702696165e-01,1.000000000000000000e+00
5.912891986062712713e-01,1.000000000000000000e+00
7.685714285714286831e-01,1.000000000000000000e+00
6.656474258970349611e-01,1.000000000000000000e+00
4.239253279515640127e-01,1.000000000000000000e+00
8.939999999999992397e-02,1.000000000000000000e+00
5.406982990152182644e-01,2.000000000000000000e+00
6.038666666666656635e-01,2.000000000000000000e+00
8.454593175853009068e-01,2.000000000000000000e+00
4.690971428571427682e-01,2.000000000000000000e+00
3.176268115942022519e-01,2.000000000000000000e+00
1.061250000000000027e+00,2.000000000000000000e+00
4.747570332480818278e-01,2.000000000000000000e+00
4.342818428184287982e-01,2.000000000000000000e+00
4.497759999999993985e-01,2.000000000000000000e+00
3.155701754385965008e-01,2.000000000000000000e+00
7.805594405594404872e-01,2.000000000000000000e+00
4.653357531760438093e-01,2.000000000000000000e+00
3.966836734693878208e-01,2.000000000000000000e+00
3.363759689922481422e-01,2.000000000000000000e+00
5.529083245521596579e-01,2.000000000000000000e+00
4.223517169614986466e-01,2.000000000000000000e+00
6.129756097560976613e-01,2.000000000000000000e+00
2.294805194805195625e-01,2.000000000000000000e+00
7.427292110874205155e-01,2.000000000000000000e+00
3.627590673575126212e-01,2.000000000000000000e+00
7.663725490196082735e-01,2.000000000000000000e+00
5.361818181818178708e-01,2.000000000000000000e+00
5.333548387096764820e-01,2.000000000000000000e+00
1.041886792452829669e+00,2.000000000000000000e+00
4.729477292202230454e-01,2.000000000000000000e+00
5.043898573692553455e-01,2.000000000000000000e+00
5.080310880829017606e-01,2.000000000000000000e+00
3.368302493966211508e-01,2.000000000000000000e+00
5.754121306376357436e-01,2.000000000000000000e+00
5.460799999999997878e-01,2.000000000000000000e+00
5.068509212730321067e-01,2.000000000000000000e+00
3.352419354838702681e-01,2.000000000000000000e+00
6.278151260504202247e-01,2.000000000000000000e+00
7.113520871143361735e-01,2.000000000000000000e+00
3.869736842105263031e-01,2.000000000000000000e+00
3.969298245614035214e-01,2.000000000000000000e+00
3.165447154471545677e-01,2.000000000000000000e+00
5.225710227272729602e-01,2.000000000000000000e+00
1.047899999999999832e+00,2.000000000000000000e+00
5.502380952380946377e-01,2.000000000000000000e+00
5.777009873060645617e-01,2.000000000000000000e+00
5.982329713721626918e-01,2.000000000000000000e+00
2.781211498973303331e-01,2.000000000000000000e+00
5.954918032786885584e-01,2.000000000000000000e+00
6.155602094240835154e-01,2.000000000000000000e+00
4.910701956271575352e-01,2.000000000000000000e+00
5.098769483182925555e-01,2.000000000000000000e+00
5.990516206482585648e-01,3.000000000000000000e+00
6.178787878787878052e-01,3.000000000000000000e+00
3.233962264150943011e-01,3.000000000000000000e+00
3.554771784232365617e-01,3.000000000000000000e+00
1.390177595628415030e+00,3.000000000000000000e+00
5.608768656716415224e-01,3.000000000000000000e+00
3.758333333333331860e-01,3.000000000000000000e+00
6.619006479481637228e-01,3.000000000000000000e+00
1.012105263157894841e+00,3.000000000000000000e+00
9.739602649006628976e-01,3.000000000000000000e+00
1.044230769230769296e+00,3.000000000000000000e+00
7.628328611898017586e-01,3.000000000000000000e+00
4.296031746031744314e-01,3.000000000000000000e+00
5.659389671361498841e-01,3.000000000000000000e+00
7.711721611721608083e-01,3.000000000000000000e+00
5.494684385382058167e-01,3.000000000000000000e+00
8.226419753086422482e-01,3.000000000000000000e+00
6.025039999999994844e-01,3.000000000000000000e+00
4.524732620320858767e-01,3.000000000000000000e+00
4.021203438395412610e-01,3.000000000000000000e+00
5.700408163265304751e-01,3.000000000000000000e+00
4.574071015689515352e-01,3.000000000000000000e+00
4.085947712418294686e-01,3.000000000000000000e+00
3.345185185185180488e-01,3.000000000000000000e+00
2.505821596244132143e-01,3.000000000000000000e+00
7.142152466367716057e-01,3.000000000000000000e+00
7.148900169204728261e-01,3.000000000000000000e+00
4.690708371665133214e-01,3.000000000000000000e+00
5.737044534412962804e-01,3.000000000000000000e+00
6.345370370370372326e-01,3.000000000000000000e+00
3.702380952380953660e-01,3.000000000000000000e+00
5.912469437652815296e-01,3.000000000000000000e+00
4.369624300559544761e-01,3.000000000000000000e+00
6.034728033472811504e-01,3.000000000000000000e+00
6.356872427983528695e-01,3.000000000000000000e+00
3.609659863945576808e-01,3.000000000000000000e+00
3.218944844124702609e-01,3.000000000000000000e+00
1.348259740259740713e+00,3.000000000000000000e+00
4.000452488687781805e-01,3.000000000000000000e+00
4.455605381165921308e-01,3.000000000000000000e+00
3.392080000000004536e-01,3.000000000000000000e+00
4.311751662971176624e-01,3.000000000000000000e+00
5.503247293921724737e-01,3.000000000000000000e+00
3.947058823529411287e-01,3.000000000000000000e+00
6.752674897119339548e-01,3.000000000000000000e+00
3.313414634146339965e-01,3.000000000000000000e+00
3.645072273324576617e-01,3.000000000000000000e+00
5.009999999999998899e-01,3.000000000000000000e+00
3.286912442396312528e-01,4.000000000000000000e+00
5.537439999999994589e-01,4.000000000000000000e+00
5.042184557438795789e-01,4.000000000000000000e+00
8.689330543933063700e-01,4.000000000000000000e+00
8.086429725363463161e-01,4.000000000000000000e+00
7.033333333333333659e-01,4.000000000000000000e+00
7.610454985479175871e-01,4.000000000000000000e+00
4.381858407079639028e-01,4.000000000000000000e+00
4.431399317406133909e-01,4.000000000000000000e+00
4.999585062240663458e-01,4.000000000000000000e+00
5.420912547528514702e-01,4.000000000000000000e+00
3.886597938144328301e-01,4.000000000000000000e+00
9.675925925925930038e-01,4.000000000000000000e+00
5.114634146341462406e-01,4.000000000000000000e+00
4.360207612456749038e-01,4.000000000000000000e+00
6.548571428571428044e-01,4.000000000000000000e+00
4.005215123859188764e-01,4.000000000000000000e+00
3.380769230769231082e-01,4.000000000000000000e+00
3.803799814643181176e-01,4.000000000000000000e+00
3.838071895424833846e-01,4.000000000000000000e+00
5.705837563451772176e-01,4.000000000000000000e+00
3.916735112936344243e-01,4.000000000000000000e+00
5.038251366120212182e-01,4.000000000000000000e+00
4.973038516405140497e-01,4.000000000000000000e+00
5.588362652232742311e-01,4.000000000000000000e+00
6.315099009900994043e-01,4.000000000000000000e+00
5.969122807017546162e-01,4.000000000000000000e+00
1.863628318584070520e+00,4.000000000000000000e+00
4.195121951219512035e-01,4.000000000000000000e+00
1.150810810810810603e+00,4.000000000000000000e+00
5.438039215686274463e-01,4.000000000000000000e+00
3.318990703851262269e-01,4.000000000000000000e+00
5.125619834710740674e-01,4.000000000000000000e+00
4.620143884892074504e-01,4.000000000000000000e+00
5.768765432098763579e-01,4.000000000000000000e+00
2.823608768971334615e-01,4.000000000000000000e+00
-2.963636363636358573e-02,4.000000000000000000e+00
7.900737100737085239e-01,4.000000000000000000e+00
5.644936086529002139e-01,4.000000000000000000e+00
4.952894736842110568e-01,4.000000000000000000e+00
3.970319634703198264e-01,4.000000000000000000e+00
7.683912611717982344e-01,4.000000000000000000e+00
3.773641618497107775e-01,4.000000000000000000e+00
4.388124999999993836e-01,4.000000000000000000e+00
5.578053435114503911e-01,4.000000000000000000e+00
7.354352941176466318e-01,4.000000000000000000e+00
5.614481576692381681e-01,4.000000000000000000e+00
4.497147651006705993e-01,5.000000000000000000e+00
3.523170731707315761e-01,5.000000000000000000e+00
5.033333333333332993e-01,5.000000000000000000e+00
1.756121794871795094e+00,5.000000000000000000e+00
6.200723327305610599e-01,5.000000000000000000e+00
3.735778635778634338e-01,5.000000000000000000e+00
5.122119205298006905e-01,5.000000000000000000e+00
4.170967741935482365e-01,5.000000000000000000e+00
5.432699619771862443e-01,5.000000000000000000e+00
2.960204081632651918e-01,5.000000000000000000e+00
3.631034482758621063e-01,5.000000000000000000e+00
5.346236559139786459e-01,5.000000000000000000e+00
6.609345794392523787e-01,5.000000000000000000e+00
4.732119514472457045e-01,5.000000000000000000e+00
1.012034883720930090e+00,5.000000000000000000e+00
8.465384615384614619e-01,5.000000000000000000e+00
4.653365384615382738e-01,5.000000000000000000e+00
5.464347826086959348e-01,5.000000000000000000e+00
5.347835051546392382e-01,5.000000000000000000e+00
4.844334433443344690e-01,5.000000000000000000e+00
3.380827067669173736e-01,5.000000000000000000e+00
3.920516304347829162e-01,5.000000000000000000e+00
6.584144645340753721e-01,5.000000000000000000e+00
4.776413570274632980e-01,5.000000000000000000e+00
4.965314401622720752e-01,5.000000000000000000e+00
6.213154960981047692e-01,5.000000000000000000e+00
6.091129032258065790e-01,5.000000000000000000e+00
4.572027972027973841e-01,5.000000000000000000e+00
6.755555555555555758e-01,5.000000000000000000e+00
