AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,label
2.432347670250898097e-01,9.238351254480285657e-02,4.781989247311830837e-01,5.534050179211469356e-02,1.098745519713261731e-01,1.633064516129032195e-01,7.704301075268817078e-02,3.009229390681003036e-01,2.606541218637993818e-01,4.240949820788528224e-01,8.852777777777777191e-01,1.367580645161291297e+00,2.376792114695343017e-01,5.031630824372761435e-01,4.339157706093191291e-01,8.627688172043002091e-01,3.336917562724014963e-01,1.729390681003584174e-01,3.566308243727598359e-01,6.711469534050179542e-01,1.478494623655914053e-01,8.960573476702508519e-03,9.767025089605735344e-02,1.218637992831541200e-01,2.473118279569892497e-01,5.286738351254480217e-02,4.767025089605734789e-01,5.313620071684588275e-01,1.836917562724014463e-01,1.675627240143369168e-01,2.562724014336917322e-01,3.288530465949821013e-01,1.227598566308243794e-01,7.168458781362007162e-03,2.302867383512544885e-01,0.000000000000000000e+00
2.104250891795472200e-01,1.045897740784780816e-01,6.903269916765776282e-01,9.280618311533876674e-02,2.575505350772889362e-02,3.685107015457785296e-01,1.330618311533885989e-01,1.566646848989300400e-01,4.136741973840664388e-02,5.630945303210460606e-01,5.480648038049924509e-01,6.317092746730060826e-01,2.051397146254462234e-01,1.330975029726511327e-01,4.952437574316268520e-01,8.498751486325814009e-01,1.690338882282992339e-01,2.494054696789536341e-01,4.955410225921522138e-01,6.438763376932223892e-01,2.146254458977407964e-01,3.775267538644470899e-02,1.180142687277051100e-01,1.685493460166468394e-01,4.994054696789536341e-02,6.242568370986920426e-03,3.100475624256837093e-01,4.384661117717003620e-01,1.801426872770511278e-01,4.221165279429250905e-01,3.041022592152199944e-01,2.137336504161712336e-01,1.414982164090368699e-01,1.426872770511296122e-02,3.962544589774078529e-01,0.000000000000000000e+00
2.283333333333333326e-01,9.000000000000001055e-02,7.528571428571430024e-01,4.785714285714286198e-02,1.297619047619048005e-01,3.557142857142857051e-01,4.785714285714285504e-02,4.535714285714286809e-01,3.800000000000000600e-01,3.573809523809523547e-01,2.369047619047619235e-01,7.009523809523807714e-01,1.609523809523809579e-01,2.749999999999999667e-01,9.473809523809526567e-01,1.184761904761904461e+00,1.023809523809523503e-01,7.142857142857142461e-02,2.619047619047619180e-01,1.000000000000000000e+00,1.904761904761904656e-01,0.000000000000000000e+00,3.095238095238095344e-01,0.000000000000000000e+00,9.523809523809523281e-02,0.000000000000000000e+00,3.571428571428571508e-01,9.523809523809523281e-02,2.857142857142856984e-01,0.000000000000000000e+00,1.666666666666666574e-01,3.571428571428571508e-01,4.047619047619047672e-01,2.380952380952380820e-02,1.904761904761904656e-01,0.000000000000000000e+00
3.120384163073304240e-01,1.416816934535474470e-01,1.941709133673068521e-01,7.151313210505677587e-02,9.272442179537430940e-02,2.003136025088198824e-01,9.262250098000776588e-02,2.999843198745584250e-01,2.001058408467266125e-01,4.205096040768323551e-01,4.496628773030176829e-01,6.772089376715010323e-01,1.654762838102702416e-01,3.266209329674634732e-01,5.280987847902771648e-01,4.520148961191677861e-01,1.986593492747939782e-01,1.556252450019600109e-01,2.175617404939239607e-01,3.876911015288122542e-01,2.830262642101136761e-01,7.996863974911799788e-02,7.957663661309290204e-02,1.332810662485299780e-01,8.506468051744413283e-02,4.664837318698549645e-02,2.936103488827910835e-01,3.237945903567228667e-01,1.042728341826734545e-01,1.450411603292826312e-01,1.963935711485692015e-01,1.618972951783614334e-01,3.449627597020776121e-02,3.724029792238337661e-02,3.551548412387299236e-01,0.000000000000000000e+00
2.096249999999997837e-01,2.290197368421057200e-01,2.526644736842108552e-01,7.002631578947370039e-02,9.086184210526318528e-02,4.606315789473683919e-01,6.602631578947372459e-02,3.072828947368421715e-01,2.031842105263156895e-01,4.287960526315793275e-01,4.184736842105261090e-01,6.830986842105251089e-01,1.603618421052631360e-01,1.754802631578947503e-01,5.931315789473683431e-01,9.259868421052602772e-01,2.454144736842105434e-01,2.953947368421052655e-01,5.078947368421052877e-01,7.611842105263157965e-01,1.565789473684210398e-01,4.473684210526315819e-02,1.986842105263157965e-01,2.171052631578947525e-02,1.736842105263158020e-01,5.263157894736841813e-02,1.552631578947368529e-01,4.019736842105263164e-01,1.572368421052631471e-01,1.967105263157894746e-01,2.032894736842105199e-01,2.848684210526316041e-01,2.269736842105263275e-01,1.243421052631578927e-01,1.263157894736842146e-01,0.000000000000000000e+00
2.037166666666664072e-01,1.878249999999998809e-01,5.271999999999995579e-01,1.601833333333334553e-01,1.151666666666667227e-01,5.080833333333331092e-01,1.740083333333333759e-01,2.177666666666664141e-01,1.532333333333334713e-01,6.160249999999994897e-01,5.647166666666667556e-01,8.860916666666647235e-01,4.041166666666670682e-01,2.679999999999999050e-01,5.269499999999994744e-01,8.127166666666648664e-01,2.390333333333332644e-01,1.566666666666666763e-01,1.724999999999999867e-01,8.666666666666666963e-02,8.399999999999999689e-01,3.250000000000000111e-02,1.241666666666666613e-01,7.416666666666667240e-02,5.083333333333333454e-02,4.166666666666666435e-02,5.041666666666666519e-01,2.374999999999999889e-01,2.433333333333333459e-01,2.558333333333333570e-01,8.116666666666666474e-01,1.950000000000000067e-01,1.208333333333333343e-01,5.333333333333333676e-02,3.375000000000000222e-01,0.000000000000000000e+00
1.223186055938387806e-01,1.539359546007295909e-01,6.924199432509122731e-01,5.279286582894204827e-02,5.142683421159303936e-02,9.101337657073384213e-02,6.790839075800583768e-02,2.925739764896635453e-01,1.460356708552896787e-01,1.773449533846777060e-01,2.404458856911221021e-01,4.768585326307260841e-01,1.132792865828942674e-01,7.956222132144324943e-02,5.530968788001604519e-01,5.440818808269144435e-01,2.223591406566678141e-01,7.174706120794487052e-02,2.367247669233887297e-01,9.481151195784353058e-01,4.296716659910822939e-02,3.323875152006485617e-02,7.580056749087961399e-02,2.553708958248885122e-02,8.350222942845561547e-02,3.445480340494527782e-02,1.211998378597486797e-01,2.865828942034860383e-01,1.284961491690312096e-01,1.743007701661937470e-01,3.692744223753546828e-01,1.552492906364004999e-01,7.336846372111877068e-02,1.743007701661937470e-02,1.828131333603567055e-01,0.000000000000000000e+00
1.815906562847608707e-01,1.160845383759732813e-01,7.694104560622920530e-02,9.469966629588434659e-02,1.976140155728585424e-01,3.284204671857615110e-01,7.182981090100114263e-02,1.285650723025584252e-01,6.375417130144606093e-02,3.655339265850950925e-01,5.804894327030021284e-01,5.730589543937697483e-01,2.731646273637373112e-01,3.121857619577302900e-01,5.116073414905446537e-01,4.500500556173516742e-01,1.586818687430476549e-01,2.413793103448275967e-01,2.914349276974416147e-01,3.893214682981090136e-02,2.791991101223581517e-01,6.395995550611791036e-02,1.223581757508342555e-01,2.447163515016685317e-02,4.783092324805339468e-02,7.452725250278086078e-02,7.697441601779755338e-01,4.054505005561735431e-01,2.647385984427141348e-01,2.130144605116796319e-01,3.820912124582869773e-01,9.733036707452724645e-02,1.078976640711902107e-01,7.230255839822025132e-02,4.354838709677419373e-01,0.000000000000000000e+00
3.037487733071638774e-01,9.683022571148190705e-02,7.367713444553483093e-01,5.744847890088323333e-02,9.185475956820413068e-03,3.928361138370951855e-02,5.000981354268889401e-02,9.168792934249261339e-01,5.267909715407272098e-02,3.518351324828253301e-01,1.396270853778213139e-01,4.326889106967610199e-01,1.161334641805692042e-01,1.032679097154075021e-01,3.809617271835123997e-01,2.899214916584888502e-01,1.669774288518154071e-01,2.217860647693817577e-01,1.815505397448478886e-01,9.862610402355250772e-01,3.631010794896957772e-02,5.888125613346418055e-03,2.649656526005888038e-02,0.000000000000000000e+00,1.884200196270853778e-01,0.000000000000000000e+00,4.789008832188419995e-01,1.030421982335623099e-01,2.100098135426889112e-01,4.317958783120706689e-02,2.060843964671246406e-02,3.572129538763493817e-01,8.341511285574092216e-02,0.000000000000000000e+00,2.620215897939155991e-01,0.000000000000000000e+00
3.852380952380950463e-01,2.560317460317460547e-01,4.648253968253968083e-01,1.041904761904761528e-01,1.353015873015872839e-01,5.328888888888894115e-01,7.653968253968254642e-02,8.355555555555557734e-02,4.361904761904761979e-02,1.453650793650793638e-01,1.985079365079365221e-01,5.233968253968249718e-01,1.279682539682539533e-01,1.310158730158730578e-01,4.907301587301586832e-01,6.623809523809525146e-01,1.418412698412697681e-01,1.968253968253968200e-01,2.476190476190476275e-01,5.174603174603175093e-01,4.126984126984126894e-02,2.031746031746031744e-01,4.222222222222222210e-01,1.269841269841269840e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.095238095238095788e-01,1.238095238095238138e-01,3.936507936507936400e-01,5.714285714285714107e-02,5.079365079365079361e-02,1.396825396825396859e-01,1.523809523809523947e-01,0.000000000000000000e+00,2.793650793650793718e-01,0.000000000000000000e+00
