AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,label
1.729390681003584174e-01,3.566308243727598359e-01,6.711469534050179542e-01,1.478494623655914053e-01,8.960573476702508519e-03,9.767025089605735344e-02,1.218637992831541200e-01,2.473118279569892497e-01,5.286738351254480217e-02,4.767025089605734789e-01,5.313620071684588275e-01,1.836917562724014463e-01,1.675627240143369168e-01,2.562724014336917322e-01,3.288530465949821013e-01,1.227598566308243794e-01,7.168458781362007162e-03,2.302867383512544885e-01,0.000000000000000000e+00
2.494054696789536341e-01,4.955410225921522138e-01,6.438763376932223892e-01,2.146254458977407964e-01,3.775267538644470899e-02,1.180142687277051100e-01,1.685493460166468394e-01,4.994054696789536341e-02,6.242568370986920426e-03,3.100475624256837093e-01,4.384661117717003620e-01,1.801426872770511278e-01,4.221165279429250905e-01,3.041022592152199944e-01,2.137336504161712336e-01,1.414982164090368699e-01,1.426872770511296122e-02,3.962544589774078529e-01,0.000000000000000000e+00
7.142857142857142461e-02,2.619047619047619180e-01,1.000000000000000000e+00,1.904761904761904656e-01,0.000000000000000000e+00,3.095238095238095344e-01,0.000000000000000000e+00,9.523809523809523281e-02,0.000000000000000000e+00,3.571428571428571508e-01,9.523809523809523281e-02,2.857142857142856984e-01,0.000000000000000000e+00,1.666666666666666574e-01,3.571428571428571508e-01,4.047619047619047672e-01,2.380952380952380820e-02,1.904761904761904656e-01,0.000000000000000000e+00
1.556252450019600109e-01,2.175617404939239607e-01,3.876911015288122542e-01,2.830262642101136761e-01,7.996863974911799788e-02,7.957663661309290204e-02,1.332810662485299780e-01,8.506468051744413283e-02,4.664837318698549645e-02,2.936103488827910835e-01,3.237945903567228667e-01,1.042728341826734545e-01,1.450411603292826312e-01,1.963935711485692015e-01,1.618972951783614334e-01,3.449627597020776121e-02,3.724029792238337661e-02,3.551548412387299236e-01,0.000000000000000000e+00
2.953947368421052655e-01,5.078947368421052877e-01,7.611842105263157965e-01,1.565789473684210398e-01,4.473684210526315819e-02,1.986842105263157965e-01,2.171052631578947525e-02,1.736842105263158020e-01,5.263157894736841813e-02,1.552631578947368529e-01,4.019736842105263164e-01,1.572368421052631471e-01,1.967105263157894746e-01,2.032894736842105199e-01,2.848684210526316041e-01,2.269736842105263275e-01,1.243421052631578927e-01,1.263157894736842146e-01,0.000000000000000000e+00
1.566666666666666763e-01,1.724999999999999867e-01,8.666666666666666963e-02,8.399999999999999689e-01,3.250000000000000111e-02,1.241666666666666613e-01,7.416666666666667240e-02,5.083333333333333454e-02,4.166666666666666435e-02,5.041666666666666519e-01,2.374999999999999889e-01,2.433333333333333459e-01,2.558333333333333570e-01,8.116666666666666474e-01,1.950000000000000067e-01,1.208333333333333343e-01,5.333333333333333676e-02,3.375000000000000222e-01,0.000000000000000000e+00
7.174706120794487052e-02,2.367247669233887297e-01,9.481151195784353058e-01,4.296716659910822939e-02,3.323875152006485617e-02,7.580056749087961399e-02,2.553708958248885122e-02,8.350222942845561547e-02,3.445480340494527782e-02,1.211998378597486797e-01,2.865828942034860383e-01,1.284961491690312096e-01,1.743007701661937470e-01,3.692744223753546828e-01,1.552492906364004999e-01,7.336846372111877068e-02,1.743007701661937470e-02,1.828131333603567055e-01,0.000000000000000000e+00
2.413793103448275967e-01,2.914349276974416147e-01,3.893214682981090136e-02,2.791991101223581517e-01,6.395995550611791036e-02,1.223581757508342555e-01,2.447163515016685317e-02,4.783092324805339468e-02,7.452725250278086078e-02,7.697441601779755338e-01,4.054505005561735431e-01,2.647385984427141348e-01,2.130144605116796319e-01,3.820912124582869773e-01,9.733036707452724645e-02,1.078976640711902107e-01,7.230255839822025132e-02,4.354838709677419373e-01,0.000000000000000000e+00
2.217860647693817577e-01,1.815505397448478886e-01,9.862610402355250772e-01,3.631010794896957772e-02,5.888125613346418055e-03,2.649656526005888038e-02,0.000000000000000000e+00,1.884200196270853778e-01,0.000000000000000000e+00,4.789008832188419995e-01,1.030421982335623099e-01,2.100098135426889112e-01,4.317958783120706689e-02,2.060843964671246406e-02,3.572129538763493817e-01,8.341511285574092216e-02,0.000000000000000000e+00,2.620215897939155991e-01,0.000000000000000000e+00
1.968253968253968200e-01,2.476190476190476275e-01,5.174603174603175093e-01,4.126984126984126894e-02,2.031746031746031744e-01,4.222222222222222210e-01,1.269841269841269840e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.095238095238095788e-01,1.238095238095238138e-01,3.936507936507936400e-01,5.714285714285714107e-02,5.079365079365079361e-02,1.396825396825396859e-01,1.523809523809523947e-01,0.000000000000000000e+00,2.793650793650793718e-01,0.000000000000000000e+00
1.706349206349206393e-01,1.904761904761904656e-01,8.928571428571429047e-01,1.507936507936507853e-01,4.583333333333333148e-01,2.480158730158730229e-01,0.000000000000000000e+00,3.690476190476190688e-01,2.658730158730158721e-01,8.869047619047618625e-01,1.130952380952380959e-01,3.373015873015873245e-01,2.599206349206349409e-01,1.924603174603174705e-01,2.242063492063492147e-01,1.825396825396825295e-01,1.984126984126984017e-02,2.559523809523809312e-01,0.000000000000000000e+00
2.705779334500875710e-01,1.681260945709281973e-01,3.126094570928196203e-01,6.812609457092819731e-01,1.558669001751313565e-01,1.462346760070052654e-01,1.190893169877408064e-01,1.567425569176882638e-01,1.637478108581436054e-01,4.299474605954465845e-01,2.381786339754816129e-01,6.068301225919439101e-01,2.285464098073555217e-01,2.031523642732049051e-01,2.075306479859894970e-01,1.812609457092819731e-01,0.000000000000000000e+00,1.024518388791593737e-01,0.000000000000000000e+00
1.856435643564356419e-01,3.638613861386138515e-01,4.430693069306930743e-01,5.321782178217822068e-01,0.000000000000000000e+00,3.836633663366336711e-01,7.425742574257425399e-03,2.475247524752475364e-02,0.000000000000000000e+00,7.103960396039603609e-01,3.341584158415841777e-01,1.980198019801980291e-01,2.896039603960395836e-01,2.128712871287128661e-01,1.559405940594059403e-01,1.262376237623762387e-01,4.207920792079208189e-02,4.084158415841583900e-01,0.000000000000000000e+00
4.103671706263498781e-02,2.213822894168466504e-01,5.658747300215982712e-01,3.023758099352051934e-02,3.693304535637149111e-01,6.587473002159827118e-02,3.239740820734341442e-01,4.319654427645788601e-03,1.295896328293736494e-02,6.144708423326133984e-01,4.848812095032397629e-01,4.438444924406047543e-01,1.457883369330453538e-01,5.615550755939524574e-02,3.347732181425486231e-02,2.699784017278617637e-02,0.000000000000000000e+00,2.159827213822894301e-03,0.000000000000000000e+00
3.180000000000000049e-01,5.220000000000000195e-01,7.179999999999999716e-01,1.630000000000000060e-01,3.099999999999999978e-02,6.500000000000000222e-02,1.170000000000000068e-01,7.199999999999999456e-02,2.119999999999999940e-01,2.479999999999999982e-01,5.110000000000000098e-01,2.590000000000000080e-01,2.839999999999999747e-01,7.699999999999999900e-02,2.590000000000000080e-01,2.399999999999999911e-01,1.310000000000000053e-01,3.930000000000000160e-01,0.000000000000000000e+00
9.325469959454478486e-02,2.078879469222263132e-01,9.926280869885735214e-01,1.256911168448212324e-01,0.000000000000000000e+00,3.866568374493181137e-01,9.030593438997419620e-02,1.002580169553999312e-01,2.727607814227792082e-02,1.009952082565425679e-01,5.182454847032804679e-01,4.028750460744563444e-01,3.464799115370438554e-02,3.354220420199041652e-02,2.174714338370807298e-01,1.315886472539624097e-01,7.740508661997788295e-03,5.565794323626981066e-02,0.000000000000000000e+00
1.791530944625407129e-01,2.581433224755700362e-01,6.270358306188924535e-01,3.330618892508143136e-01,0.000000000000000000e+00,1.140065146579804546e-02,8.143322475570032720e-03,1.140065146579804546e-02,1.791530944625407268e-02,6.294788273615634644e-01,2.557003257328990253e-01,2.605863192182410540e-02,1.026058631921824144e-01,3.729641693811074910e-01,1.579804560260586188e-01,1.881107491856677527e-01,6.351791530944625452e-02,1.864820846905537455e-01,0.000000000000000000e+00
2.230971128608923854e-02,2.664041994750656062e-01,3.674540682414698112e-02,8.635170603674540146e-01,0.000000000000000000e+00,1.049868766404199460e-02,2.230971128608923854e-02,1.312335958005249326e-02,0.000000000000000000e+00,7.139107611548556331e-01,1.968503937007873988e-02,1.745406824146981672e-01,3.937007874015747977e-03,9.186351706036745002e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.254593175853018328e-01,0.000000000000000000e+00
1.308688613059902917e-01,3.383702104695088808e-01,3.656233135456017358e-01,2.104695089044792203e-02,0.000000000000000000e+00,1.133297355639503561e-02,0.000000000000000000e+00,5.396654074473826272e-04,0.000000000000000000e+00,5.080949811117106973e-01,3.480841878035617620e-02,2.039935240151106444e-01,2.860226659471127794e-02,4.317323259579061018e-03,1.869940636805180745e-01,1.888828926065839325e-02,0.000000000000000000e+00,2.234214786832164068e-01,0.000000000000000000e+00
7.549962990377498406e-02,3.597335307179866937e-01,9.792746113989637680e-01,4.441154700222058049e-02,4.367135455218356527e-02,4.885270170244263715e-02,6.883789785344189560e-02,8.882309400444115058e-03,0.000000000000000000e+00,1.643227239082161451e-01,3.212435233160621517e-01,2.931162102146558368e-01,1.036269430051813406e-01,1.058475203552923793e-01,1.450777202072538741e-01,1.036269430051813510e-02,0.000000000000000000e+00,2.176165803108808250e-01,0.000000000000000000e+00
1.526418786692759211e-01,4.520547945205479201e-01,7.612524461839530465e-01,2.739726027397260122e-02,0.000000000000000000e+00,2.935420743639921559e-02,7.827788649706457491e-03,1.174168297455968624e-02,4.109589041095890183e-02,1.663405088062622217e-01,1.643835616438356073e-01,1.232876712328767055e-01,9.001956947162426115e-02,2.348336594911937247e-02,1.663405088062622217e-01,9.197651663405087552e-02,1.956947162426614373e-02,1.330724070450097773e-01,0.000000000000000000e+00
2.015182884748102088e-01,3.278122843340234849e-01,8.267770876466529195e-01,1.297446514837819198e-01,8.350586611456176089e-02,1.884057971014492794e-01,3.450655624568668006e-03,1.449275362318840632e-01,2.311939268461007668e-01,3.961352657004830746e-01,2.498274672187715539e-01,2.546583850931676829e-01,1.449275362318840632e-01,2.132505175983436807e-01,2.394755003450655673e-01,1.808143547273982077e-01,5.659075224292615253e-02,1.752933057280883500e-01,0.000000000000000000e+00
1.542416452442159358e-01,4.138817480719794162e-01,2.390745501285347074e-01,5.475578406169665513e-01,1.491002570694087426e-01,4.498714652956298243e-01,1.542416452442159358e-02,2.159383033419023101e-01,3.084832904884318716e-02,3.650385604113110527e-01,5.012853470437017567e-01,2.082262210796915203e-01,2.287917737789203210e-01,2.802056555269922811e-01,1.336760925449871351e-01,1.311053984575835385e-01,5.141388174807198091e-02,5.115681233933161431e-01,0.000000000000000000e+00
3.968642822146006832e-02,1.749142577168054935e-01,2.405683488486036192e-01,6.305732484076432831e-01,2.792748652621264080e-02,2.572268495835374758e-01,1.959823615874571254e-03,0.000000000000000000e+00,2.106810387065164228e-02,7.349338559529641768e-02,2.400783929446349829e-01,3.184713375796178192e-01,9.750122488975991597e-02,1.724644781969622842e-01,3.174914257716805466e-01,8.280254777070063243e-02,0.000000000000000000e+00,8.035276825085742314e-02,0.000000000000000000e+00
1.591194968553459044e-01,3.911949685534591437e-01,4.176100628930817793e-01,4.647798742138364858e-01,1.465408805031446493e-01,1.572327044025157161e-01,9.308176100628930139e-02,6.792452830188679125e-02,1.672955974842767202e-01,6.031446540880502916e-01,2.710691823899371022e-01,1.226415094339622647e-01,1.817610062893081635e-01,2.981132075471698006e-01,8.742138364779873660e-02,1.647798742138364692e-01,1.125786163522012606e-01,3.509433962264150719e-01,0.000000000000000000e+00
2.207432057681641691e-01,2.750970604547975373e-01,3.727121464226289538e-01,2.839711591791458933e-01,8.319467554076538651e-02,1.663893510815307730e-01,6.378258458125346531e-02,1.968940654464780837e-01,3.261231281198003207e-01,7.448696616749861388e-01,2.601220188574597802e-01,1.919023849140321647e-01,1.436494731003882530e-01,2.196339434276206315e-01,1.325568496949528496e-01,1.974486966167498525e-01,8.264004437049361773e-02,3.893510815307820172e-01,0.000000000000000000e+00
3.143712574850299202e-01,4.071856287425149601e-01,8.270958083832334884e-01,3.083832335329341201e-01,3.592814371257484901e-02,1.422155688622754599e-01,0.000000000000000000e+00,8.757485029940119403e-02,6.511976047904191600e-02,2.282934131736527039e-01,1.646706586826347241e-01,1.324850299401197640e-01,1.803892215568862201e-01,7.934131736526946199e-02,1.272455089820359320e-01,3.285928143712574800e-01,1.773952095808383200e-01,3.106287425149700798e-01,0.000000000000000000e+00
2.761437908496732208e-01,2.124183006535947660e-01,6.176470588235294379e-01,2.385620915032679867e-01,0.000000000000000000e+00,8.088235294117647467e-02,2.336601307189542509e-01,1.143790849673202541e-02,0.000000000000000000e+00,5.351307189542483522e-01,4.803921568627451122e-01,5.073529411764705621e-01,2.883986928104574909e-01,5.228758169934640682e-02,1.830065359477124065e-01,1.151960784313725422e-01,0.000000000000000000e+00,3.619281045751633896e-01,0.000000000000000000e+00
1.472550025654181527e-01,2.195997947665469519e-01,3.832734735761929024e-01,5.325808106721395818e-01,2.821959979476654570e-02,3.335043612108773425e-02,1.585428424833247862e-01,1.528989225243714833e-01,5.387378142637249540e-02,2.632119035402770701e-01,2.934838378655720836e-01,2.042072857875833758e-01,2.113904566444330391e-01,2.611595690097485711e-01,2.083119548486403183e-01,8.311954848640328020e-02,4.617752693689071430e-02,3.648024628014366333e-01,0.000000000000000000e+00
4.657694558221182057e-01,5.400819192510240008e-01,6.167349327091866673e-01,1.761263897015798718e-01,9.362200117027501614e-03,4.739613809245172421e-02,0.000000000000000000e+00,7.080163838502047391e-02,1.029842012873025126e-01,5.547103569338794893e-01,2.539496781743709741e-01,3.815096547688706652e-01,1.638385020479812826e-01,2.773551784669397446e-01,1.872440023405500253e-01,2.937390286717378451e-01,7.606787595084844519e-03,2.170860152135751786e-01,0.000000000000000000e+00
6.108687028956763521e-02,2.606108687028956816e-01,9.393097976993256548e-01,1.539071796905989720e-01,2.221340737802459178e-02,7.616025386751289206e-02,1.666005553351844470e-02,1.626338754462514774e-02,2.380007933359777877e-03,6.346687822292740311e-02,3.038476794922649882e-01,1.951606505355017729e-01,2.118207060690202315e-01,3.966679888932962694e-03,7.021023403411344455e-02,2.300674335581118571e-02,1.943673145577151998e-02,1.463704879016263505e-01,0.000000000000000000e+00
3.401639344262294973e-01,4.586065573770491954e-01,4.758196721311475641e-01,2.397540983606557263e-01,1.635245901639344190e-01,1.549180327868852347e-01,1.803278688524590292e-02,7.377049180327868716e-02,2.172131147540983659e-02,5.155737704918033071e-01,6.999999999999999556e-01,2.688524590163934302e-01,2.233606557377049162e-01,4.225409836065573965e-01,3.036885245901639330e-01,1.131147540983606509e-01,4.754098360655737571e-02,1.971311475409835978e-01,0.000000000000000000e+00
3.952347582340574594e-01,5.094604064470917848e-01,3.454800280308339411e-01,1.976173791170287297e-01,2.382620882971268547e-02,9.810791871058164096e-03,3.251576734407848890e-01,1.457603363700070154e-01,2.242466713384723073e-02,3.517869656622284458e-01,3.573931324456902647e-01,4.667133847231955124e-01,4.758234057463209266e-01,8.409250175192711785e-02,3.475823405746321093e-01,1.646811492641906127e-01,3.854239663629992901e-02,3.798177995795374851e-01,0.000000000000000000e+00
1.487058823529411877e-01,4.174117647058823710e-01,6.094117647058823195e-01,1.218823529411764695e-01,3.152941176470588219e-02,1.317647058823529470e-02,0.000000000000000000e+00,2.870588235294117482e-02,2.494117647058823398e-02,5.759999999999999565e-01,1.374117647058823444e-01,1.920000000000000040e-01,3.858823529411764541e-02,3.647058823529411575e-01,9.270588235294117962e-02,9.223529411764705421e-02,8.941176470588235378e-03,3.096470588235293864e-01,0.000000000000000000e+00
2.812500000000000000e-01,3.778409090909091161e-01,9.815340909090909394e-01,6.676136363636363258e-02,0.000000000000000000e+00,1.079545454545454558e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.704545454545454419e-01,1.846590909090909116e-01,7.812500000000000000e-02,9.943181818181817677e-02,2.840909090909090988e-03,2.088068181818181768e-01,1.974431818181818232e-01,2.982954545454545581e-02,1.974431818181818232e-01,0.000000000000000000e+00
5.309139784946236701e-02,6.384408602150537515e-02,7.466397849462365066e-01,3.252688172043010639e-01,1.344086021505376451e-03,4.973118279569892219e-02,0.000000000000000000e+00,1.075268817204301161e-02,1.478494623655914053e-02,3.918010752688171894e-01,2.405913978494623739e-01,1.115591397849462346e-01,3.750000000000000000e-01,5.510752688172042973e-02,8.870967741935484319e-02,2.056451612903225923e-01,2.836021505376344343e-01,2.963709677419354982e-01,0.000000000000000000e+00
8.986979993648777643e-02,3.216894252143537858e-01,3.540806605271514806e-01,1.698952048269291859e-01,1.000317561130517618e-01,8.415369958717053289e-02,9.844395046046363479e-03,2.731025722451571949e-02,3.048586852969196667e-02,7.907272149888853185e-01,2.143537630993966325e-01,1.778342330898697865e-01,1.508415369958717167e-01,9.558590028580501996e-02,2.308669418863131262e-01,1.336932359479199861e-01,2.508732931089234508e-02,1.371864083836138448e-01,0.000000000000000000e+00
2.360890302066772639e-01,4.379968203497615065e-01,5.230524642289348103e-01,3.100158982511923567e-01,7.551669316375199392e-02,5.214626391096979230e-01,1.828298887122416574e-02,2.233704292527821933e-01,1.001589825119236915e-01,5.294117647058823595e-01,3.457869634340222653e-01,3.338632750397456106e-01,1.049284578696343395e-01,2.289348171701112988e-01,2.877583465818759900e-01,7.154213036565977568e-02,1.271860095389507062e-01,3.338632750397456106e-01,0.000000000000000000e+00
1.653290529695023992e-01,5.569823434991973965e-01,8.908507223113965034e-01,1.428571428571428492e-01,1.043338683788122001e-01,1.284109149277688593e-02,1.926163723916532802e-02,0.000000000000000000e+00,1.284109149277688593e-02,1.476725521669342012e-01,3.338683788121990514e-01,1.813804173354735261e-01,3.659711075441412498e-01,5.778491171749598754e-02,3.258426966292135019e-01,1.284109149277688489e-01,0.000000000000000000e+00,3.932584269662921517e-01,1.000000000000000000e+00
