b02,1443687282.934144,Thu Oct  1 10:14:42 2015
b03,1443690524.567955,Thu Oct  1 11:08:44 2015
b04,1443694252.856603,Thu Oct  1 12:10:52 2015
b05,1443697558.303376,Thu Oct  1 13:05:58 2015
b06,1443701246.264634,Thu Oct  1 14:07:26 2015
b08,1443769344.153515,Fri Oct  2 09:02:24 2015
b09,1443773620.647643,Fri Oct  2 10:13:40 2015
b10,1444225300.757486,Wed Oct  7 15:41:40 2015
b11,1448449879.343273,Wed Nov 25 12:11:19 2015
b12,1448464102.775439,Wed Nov 25 16:08:22 2015
b13,1448524843.512174,Thu Nov 26 09:00:43 2015
b_14,1448543010.983794,Thu Nov 26 14:03:30 2015
b_15,1448608528.591663,Fri Nov 27 08:15:28 2015
b_16,1449058035.494112,Wed Dec  2 13:07:15 2015
b_18,1449151703.186605,Thu Dec  3 15:08:23 2015
s02,1443021111.735884,Wed Sep 23 17:11:51 2015
s03,1443024446.377643,Wed Sep 23 18:07:26 2015
s04,1443074949.483791,Thu Sep 24 08:09:09 2015
s05,1443172537.618845,Fri Sep 25 11:15:37 2015
s06,1443435359.130408,Mon Sep 28 12:15:59 2015
s07,1443438408.2495,Mon Sep 28 13:06:48 2015
s08,1443777666.698896,Fri Oct  2 11:21:06 2015
s10,1444212475.170806,Wed Oct  7 12:07:55 2015
s11,1447679785.683328,Mon Nov 16 14:16:25 2015
s12,1447748219.753706,Tue Nov 17 09:16:59 2015
s13,1448291495.432356,Mon Nov 23 16:11:35 2015
s_14,1448622364.053409,Fri Nov 27 12:06:04 2015
s16,1448636515.774708,Fri Nov 27 16:01:55 2015
s_18,1449158320.973311,Thu Dec  3 16:58:40 2015
s_19,1449230865.874776,Fri Dec  4 13:07:45 2015
s_20,1449233297.966657,Fri Dec  4 13:48:17 2015
t01,1444228972.749896,Wed Oct  7 16:42:52 2015
t02,1444302517.985835,Thu Oct  8 13:08:37 2015
t03,1444374665.707729,Fri Oct  9 09:11:05 2015
t04,1444391985.745689,Fri Oct  9 13:59:45 2015
t05,1444741757.73214,Tue Oct 13 15:09:17 2015
t06,1444907422.880529,Thu Oct 15 13:10:22 2015
t07,1444911196.963705,Thu Oct 15 14:13:16 2015
t08,1445001648.91185,Fri Oct 16 15:20:48 2015
t08,1445001659.186187,Fri Oct 16 15:20:59 2015
t09,1445004732.889798,Fri Oct 16 16:12:12 2015
t10,1447668285.605866,Mon Nov 16 11:04:45 2015
t11,1447676029.2072,Mon Nov 16 13:13:49 2015
t12,1447744468.781582,Tue Nov 17 08:14:28 2015
t13,1447852026.901295,Wed Nov 18 14:07:06 2015
t14,1448377855.921927,Tue Nov 24 16:10:55 2015
t15,1448528929.844442,Thu Nov 26 10:08:49 2015
t_16,1448539641.618039,Thu Nov 26 13:07:21 2015
t_17,1448557776.59635,Thu Nov 26 18:09:36 2015
t_18,1448562111.526491,Thu Nov 26 19:21:51 2015
tf_01,1457528883.573613,Wed Mar  9 14:08:03 2016
tf_02_1,1457702193.8665,Fri Mar 11 14:16:33 2016
tf_03,1458029043.820003,Tue Mar 15 09:04:03 2016
tf_04,1458115536.795086,Wed Mar 16 09:05:36 2016
tf_05,1458141521.387734,Wed Mar 16 16:18:41 2016
tf_06,1458663094.340189,Tue Mar 22 17:11:34 2016
tf_07,1458734772.701863,Wed Mar 23 13:06:12 2016
tf_08,1458742060.326174,Wed Mar 23 15:07:40 2016
tf_09,1459232295.191519,Tue Mar 29 08:18:15 2016
tf_11,1459249617.535851,Tue Mar 29 13:06:57 2016
tf_12,1459440790.629535,Thu Mar 31 18:13:10 2016
tf_14_1,1460112406.982584,Fri Apr  8 12:46:46 2016
tf_15_1,1460119255.688671,Fri Apr  8 14:40:55 2016
tf_16_1,1460125214.063831,Fri Apr  8 16:20:14 2016
tf_17_1,1460128577.999001,Fri Apr  8 17:16:17 2016
tf_18,1460466427.07328,Tue Apr 12 15:07:07 2016
tf_19,1460624627.934323,Thu Apr 14 11:03:47 2016
bf_03,1461154089.913239,Wed Apr 20 14:08:09 2016
bf_05_1,1461651151.095122,Tue Apr 26 08:12:31 2016
bf_06,1461654712.729624,Tue Apr 26 09:11:52 2016
bf_07_1,1462169197.756148,Mon May  2 08:06:37 2016
bf_08,1462172936.025489,Mon May  2 09:08:56 2016
bf_10_1,1462183739.902761,Mon May  2 12:08:59 2016
bf_11,1462201020.084584,Mon May  2 16:57:00 2016
bf_12_1,1462280234.550111,Tue May  3 14:57:14 2016
bf_13,1462284403.788784,Tue May  3 16:06:43 2016
bf_14_1,1462348993.393628,Wed May  4 10:03:13 2016
bf_15_1,1462353204.375645,Wed May  4 11:13:24 2016
bf_16_1,1462356552.4363,Wed May  4 12:09:12 2016
bf_17,1462363360.270687,Wed May  4 14:02:40 2016
bf_18_1,1462367056.188995,Wed May  4 15:04:16 2016
bf_19_1,1462377715.146787,Wed May  4 18:01:55 2016
