frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
20,0,0.380,0.93,1,2.05,0.49,3.21,1.50,-0.43,-1.64,0.48,1.03,0.09,0.83,-0.52,0.30,0.30,-0.22,1.78,0.94,1.06,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
21,0,0.400,0.93,1,2.37,0.66,3.44,1.16,-0.90,-1.20,0.47,0.72,-0.26,0.49,-0.44,0.28,0.04,-0.07,1.71,1.26,0.80,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
22,0,0.420,0.93,1,2.48,0.67,3.37,1.41,-0.95,-1.14,0.55,0.46,-0.29,0.50,-0.52,0.08,-0.42,0.15,1.64,1.39,0.58,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
23,0,0.440,0.93,1,2.30,0.60,3.57,1.28,-0.86,-1.11,0.81,0.44,-0.32,0.55,-0.43,0.39,-0.26,0.64,1.31,1.30,0.43,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24,0,0.460,0.88,1,2.20,0.38,3.62,0.64,-0.91,-0.66,0.86,0.19,-0.35,0.49,-0.63,0.28,-0.38,0.77,1.35,1.14,0.10,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0,0.480,0.88,1,2.28,1.09,2.97,0.37,-0.94,0.03,1.08,0.58,-0.22,0.92,-0.41,0.07,-0.61,-0.34,1.49,1.19,0.37,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0,0.500,0.88,1,2.62,1.26,2.72,0.29,-0.84,-0.22,0.97,0.47,-0.30,0.84,-0.43,0.13,-0.58,-0.43,1.22,0.90,0.23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0,0.520,0.88,1,2.00,0.82,2.82,0.72,-0.63,-0.41,1.19,0.44,-0.37,0.70,-0.33,0.28,-0.80,-0.31,0.86,0.89,0.15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0,0.540,0.88,1,2.08,0.42,2.63,0.85,-0.69,-0.55,1.04,0.47,-0.20,0.68,-0.33,0.28,-0.51,-0.48,0.40,0.28,-0.09,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0,0.560,0.88,1,1.84,0.90,2.70,0.89,-0.75,-0.57,1.03,0.37,-0.13,0.73,-0.29,0.10,-0.09,-0.47,0.40,0.20,-0.20,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0,0.580,0.88,1,1.92,1.30,2.90,0.91,-0.66,-0.15,0.97,0.47,-0.02,0.75,-0.25,-0.09,-0.13,-0.57,0.27,-0.37,0.03,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0,0.600,0.88,1,1.52,0.68,2.77,0.93,-0.70,-0.51,0.60,0.36,-0.04,0.65,-0.29,0.28,-0.08,-0.28,0.13,-0.12,0.20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0,0.620,0.88,1,1.71,0.58,2.86,1.17,-0.68,-0.59,0.60,0.54,-0.03,0.64,-0.33,0.37,-0.14,-0.35,-0.05,-0.33,-0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0,0.640,0.88,1,1.83,0.67,2.71,1.05,-0.65,-0.84,0.51,0.49,-0.01,0.59,-0.21,0.23,0.13,-0.22,-0.01,-0.44,-0.13,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0,0.660,0.88,1,1.77,1.04,2.62,1.00,-0.56,-0.24,0.50,0.54,0.10,0.44,-0.19,0.17,0.09,-0.26,0.14,-0.33,-0.31,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0,0.680,0.88,1,1.81,1.43,2.52,1.00,-0.66,0.11,0.48,0.36,0.06,0.40,-0.05,0.49,0.28,0.01,-0.32,-0.62,-0.22,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0,0.700,0.88,1,1.82,1.10,2.84,0.72,-0.69,-0.12,0.46,0.45,0.11,0.36,0.04,0.57,0.61,0.01,-0.41,-0.69,-0.35,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37,0,0.720,0.88,1,1.50,1.22,3.36,0.69,-0.25,0.24,0.65,0.40,0.21,0.92,0.18,0.07,0.20,0.04,-0.50,-0.65,-0.31,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0,0.740,0.88,1,1.55,0.96,3.02,0.49,-0.26,-0.22,0.45,0.38,0.27,0.87,0.16,0.31,0.61,0.20,-0.55,-0.56,-0.24,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0,0.760,0.88,1,1.44,1.12,2.99,0.55,-0.21,-0.32,0.38,0.34,0.30,0.86,-0.02,0.45,0.60,0.38,-0.62,-0.29,-0.39,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0,0.780,0.88,1,1.54,1.37,2.94,0.78,-0.12,-0.05,0.37,0.27,0.32,0.82,-0.10,0.52,0.71,0.45,-0.72,-0.47,-0.47,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0,0.800,0.88,1,1.44,0.91,2.84,0.66,-0.24,-0.67,0.23,0.22,0.33,0.85,0.03,0.83,1.03,0.55,-0.74,-0.20,-0.38,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
