frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
20,0,0.380,0.88,1,1.05,0.49,0.71,0.54,0.00,0.00,0.00,0.03,0.00,0.30,0.00,3.36,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
21,0,0.400,0.88,1,1.18,0.73,0.68,0.57,0.00,0.00,0.00,0.00,0.00,0.39,0.02,3.29,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
22,0,0.420,0.88,1,1.22,0.91,0.77,0.62,0.00,0.00,0.00,0.00,0.00,0.46,0.02,3.11,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
23,0,0.440,0.88,1,1.19,0.92,0.82,0.58,0.00,0.00,0.02,0.00,0.00,0.52,0.02,3.09,0.01,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
24,0,0.460,0.88,1,1.22,0.67,0.76,0.34,0.00,0.00,0.02,0.00,0.03,0.70,0.10,3.03,0.01,0.00,0.00,0.10,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
25,0,0.480,0.88,1,1.27,0.43,0.61,0.15,0.00,0.00,0.02,0.00,0.04,0.89,0.21,2.90,0.01,0.00,0.00,0.10,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00
26,0,0.500,0.88,1,1.33,0.24,0.51,0.12,0.00,0.00,0.00,0.00,0.08,1.02,0.32,2.85,0.00,0.00,0.00,0.10,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
27,0,0.520,0.88,1,1.27,0.14,0.47,0.12,0.00,0.00,0.03,0.00,0.08,0.85,0.29,2.74,0.00,0.00,0.00,0.05,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
28,0,0.540,0.88,1,1.20,0.09,0.52,0.08,0.00,0.00,0.03,0.00,0.14,0.66,0.24,3.00,0.00,0.00,0.00,0.08,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
29,0,0.560,0.88,1,1.11,0.02,0.50,0.00,0.00,0.00,0.05,0.00,0.19,0.40,0.15,3.20,0.00,0.00,0.00,0.08,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
30,0,0.580,0.88,1,1.10,0.00,0.51,0.00,0.00,0.00,0.03,0.00,0.25,0.28,0.10,3.39,0.15,0.00,0.00,0.07,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
31,0,0.600,0.88,1,1.11,0.05,0.60,0.00,0.00,0.00,0.06,0.01,0.29,0.34,0.04,3.33,0.19,0.00,0.00,0.05,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
32,0,0.620,0.88,1,1.11,0.07,0.68,0.08,0.00,0.00,0.12,0.03,0.40,0.47,0.01,3.18,0.20,0.00,0.00,0.05,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
33,0,0.640,0.88,1,1.03,0.07,0.67,0.16,0.00,0.00,0.16,0.11,0.51,0.56,0.00,3.12,0.17,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
34,0,0.660,0.88,1,0.98,0.04,0.67,0.31,0.00,0.00,0.15,0.18,0.60,0.36,0.00,3.08,0.23,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
35,0,0.680,0.88,1,0.94,0.02,0.62,0.44,0.00,0.00,0.09,0.22,0.57,0.39,0.00,2.99,0.37,0.00,0.00,0.00,0.02,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
36,0,0.700,0.88,1,1.05,0.03,0.68,0.38,0.00,0.00,0.05,0.28,0.56,0.51,0.00,2.92,0.36,0.00,0.00,0.00,0.02,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
37,0,0.720,0.88,1,1.09,0.01,0.67,0.26,0.00,0.00,0.02,0.25,0.56,0.68,0.00,2.75,0.33,0.00,0.00,0.00,0.02,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
38,0,0.740,0.88,1,1.19,0.05,0.66,0.10,0.00,0.00,0.00,0.25,0.60,0.74,0.00,2.68,0.29,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
39,0,0.760,0.88,1,1.21,0.04,0.64,0.14,0.00,0.00,0.00,0.19,0.64,0.71,0.00,2.62,0.34,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
40,0,0.780,0.88,1,1.32,0.04,0.55,0.32,0.00,0.00,0.00,0.20,0.57,0.89,0.00,2.65,0.47,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
41,0,0.800,0.88,1,1.30,0.00,0.57,0.36,0.00,0.00,0.06,0.21,0.52,0.96,0.00,2.62,0.60,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
42,0,0.820,0.88,1,1.16,0.00,0.58,0.44,0.00,0.00,0.16,0.14,0.50,0.93,0.00,2.68,0.44,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
43,0,0.840,0.88,1,1.03,0.00,0.63,0.33,0.00,0.00,0.29,0.14,0.52,0.64,0.00,2.78,0.24,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
44,0,0.860,0.88,1,0.96,0.00,0.67,0.39,0.00,0.00,0.33,0.13,0.54,0.57,0.00,2.94,0.04,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
45,0,0.880,0.88,1,1.02,0.00,0.71,0.35,0.00,0.00,0.23,0.13,0.46,0.74,0.00,3.00,0.27,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
46,0,0.900,0.88,1,0.99,0.00,0.81,0.37,0.00,0.00,0.14,0.18,0.52,0.99,0.00,2.99,0.38,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
47,0,0.920,0.88,1,0.98,0.00,0.96,0.29,0.00,0.00,0.05,0.13,0.59,0.97,0.00,2.90,0.40,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
48,0,0.940,0.88,1,1.00,0.00,0.85,0.35,0.00,0.00,0.13,0.12,0.62,0.74,0.00,2.76,0.17,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
49,0,0.960,0.88,1,0.96,0.00,0.76,0.31,0.00,0.00,0.21,0.01,0.56,0.62,0.00,2.56,0.06,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
50,0,0.980,0.88,1,0.97,0.01,0.54,0.28,0.00,0.00,0.27,0.00,0.47,0.65,0.00,2.46,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
51,0,1.000,0.88,1,0.83,0.03,0.50,0.23,0.00,0.00,0.29,0.00,0.49,0.81,0.00,2.59,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
52,0,1.020,0.88,1,0.83,0.03,0.44,0.31,0.00,0.00,0.18,0.00,0.45,0.93,0.00,2.63,0.00,0.00,0.00,0.18,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
53,0,1.040,0.88,1,0.84,0.16,0.51,0.64,0.00,0.00,0.17,0.00,0.49,0.93,0.00,2.68,0.00,0.00,0.00,0.41,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
54,0,1.060,0.88,1,0.96,0.39,0.65,0.96,0.00,0.00,0.19,0.00,0.37,0.90,0.00,2.55,0.00,0.00,0.00,0.62,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
55,0,1.080,0.88,1,0.97,0.50,0.73,1.17,0.00,0.00,0.26,0.00,0.30,0.78,0.00,2.51,0.00,0.00,0.00,0.72,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
56,0,1.100,0.88,1,1.02,0.48,0.76,1.27,0.00,0.00,0.33,0.00,0.22,0.60,0.00,2.35,0.00,0.00,0.00,0.57,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
57,0,1.120,0.88,1,0.95,0.37,0.79,1.23,0.00,0.00,0.24,0.00,0.32,0.50,0.00,2.18,0.00,0.00,0.00,0.65,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
58,0,1.140,0.88,1,0.98,0.39,0.92,1.29,0.00,0.00,0.21,0.00,0.39,0.38,0.00,2.14,0.00,0.00,0.00,0.64,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
59,0,1.160,0.88,1,0.85,0.28,0.99,1.24,0.00,0.00,0.19,0.00,0.33,0.43,0.00,2.18,0.00,0.00,0.00,0.85,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
60,0,1.180,0.88,1,0.93,0.16,1.15,0.88,0.00,0.00,0.16,0.00,0.32,0.35,0.00,2.32,0.06,0.00,0.00,0.57,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
61,0,1.200,0.88,1,1.02,0.03,1.26,0.51,0.00,0.00,0.17,0.00,0.36,0.32,0.00,2.40,0.15,0.00,0.00,0.35,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
62,0,1.220,0.88,1,1.17,0.11,1.32,0.28,0.00,0.00,0.11,0.00,0.39,0.31,0.00,2.50,0.16,0.00,0.00,0.13,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
63,0,1.240,0.88,1,1.10,0.08,1.43,0.36,0.00,0.00,0.20,0.00,0.32,0.36,0.00,2.55,0.27,0.00,0.00,0.13,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
64,0,1.260,0.88,1,1.09,0.16,1.57,0.53,0.00,0.00,0.24,0.00,0.22,0.32,0.00,2.60,0.18,0.00,0.00,0.36,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
65,0,1.280,0.88,1,1.06,0.12,1.59,0.59,0.00,0.00,0.28,0.00,0.18,0.21,0.00,2.64,0.22,0.00,0.00,0.56,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
66,0,1.300,0.88,1,1.09,0.12,1.43,0.75,0.00,0.00,0.25,0.00,0.18,0.19,0.00,2.68,0.14,0.00,0.00,0.90,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
67,0,1.320,0.88,1,1.00,0.03,1.23,0.79,0.00,0.00,0.23,0.00,0.12,0.18,0.00,2.63,0.18,0.00,0.00,0.86,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
68,0,1.340,0.88,1,0.99,0.00,1.26,0.84,0.00,0.00,0.31,0.00,0.15,0.35,0.00,2.59,0.19,0.00,0.00,0.80,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
69,0,1.360,0.88,1,1.04,0.00,1.40,0.92,0.00,0.00,0.32,0.00,0.11,0.39,0.00,2.46,0.17,0.00,0.00,0.90,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
70,0,1.380,0.88,1,1.11,0.00,1.48,1.09,0.00,0.00,0.30,0.00,0.19,0.55,0.00,2.50,0.19,0.00,0.00,1.10,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
71,0,1.400,0.88,1,1.24,0.05,1.59,1.14,0.00,0.00,0.23,0.00,0.19,0.50,0.00,2.51,0.17,0.00,0.00,1.30,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
72,0,1.420,0.88,1,1.36,0.08,1.65,1.23,0.00,0.00,0.28,0.00,0.27,0.33,0.00,2.61,0.40,0.00,0.00,0.92,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
73,0,1.440,0.88,1,1.46,0.08,1.75,1.13,0.00,0.00,0.30,0.00,0.31,0.17,0.00,2.73,0.59,0.00,0.00,0.49,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
74,0,1.460,0.88,1,1.49,0.03,1.76,1.18,0.00,0.00,0.34,0.00,0.33,0.06,0.00,2.75,0.86,0.00,0.00,0.22,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
75,0,1.480,0.88,1,1.50,0.01,1.78,1.11,0.00,0.00,0.35,0.00,0.30,0.08,0.00,2.81,0.78,0.00,0.00,0.26,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
76,0,1.500,0.88,1,1.53,0.01,1.70,1.19,0.00,0.00,0.41,0.00,0.28,0.15,0.00,2.83,0.76,0.00,0.00,0.41,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
77,0,1.520,0.88,1,1.54,0.01,1.69,1.19,0.00,0.00,0.38,0.00,0.28,0.16,0.00,2.96,0.70,0.00,0.00,0.42,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
78,0,1.540,0.88,1,1.52,0.00,1.71,1.28,0.00,0.00,0.36,0.00,0.29,0.20,0.00,2.97,0.78,0.00,0.00,0.47,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
79,0,1.560,0.88,1,1.46,0.00,1.79,1.30,0.00,0.00,0.29,0.00,0.32,0.16,0.00,2.94,0.72,0.00,0.00,0.54,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
