frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
20,0,0.380,0.93,1,0.23,0.11,0.24,0.18,0.00,0.00,0.00,0.23,0.00,0.32,0.00,0.11,0.00,0.04,0.06,0.23,0.08,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
21,0,0.400,0.93,1,0.22,0.04,0.24,0.18,0.00,0.00,0.00,0.22,0.00,0.24,0.00,0.08,0.00,0.08,0.02,0.22,0.10,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
22,0,0.420,0.93,1,0.22,0.01,0.23,0.18,0.00,0.00,0.00,0.32,0.00,0.21,0.00,0.08,0.00,0.15,0.07,0.16,0.10,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
23,0,0.440,0.93,1,0.20,0.00,0.19,0.18,0.00,0.00,0.00,0.41,0.00,0.19,0.00,0.11,0.00,0.19,0.12,0.16,0.07,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
24,0,0.460,0.93,1,0.15,0.00,0.20,0.10,0.00,0.01,0.00,0.44,0.00,0.19,0.00,0.09,0.00,0.25,0.19,0.11,0.03,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
25,0,0.480,0.93,1,0.08,0.00,0.22,0.05,0.00,0.01,0.00,0.42,0.00,0.22,0.00,0.06,0.00,0.24,0.16,0.07,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
26,0,0.500,0.93,1,0.04,0.00,0.28,0.00,0.00,0.01,0.00,0.45,0.00,0.33,0.00,0.06,0.00,0.20,0.10,0.00,0.02,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
27,0,0.520,0.98,1,0.00,0.00,0.31,0.00,0.00,0.01,0.00,0.51,0.00,0.35,0.00,0.13,0.00,0.14,0.04,0.00,0.02,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
28,0,0.540,0.98,1,0.00,0.00,0.37,0.05,0.00,0.01,0.06,0.54,0.00,0.33,0.00,0.20,0.00,0.14,0.00,0.00,0.03,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
29,0,0.560,0.98,1,0.00,0.00,0.40,0.07,0.00,0.01,0.08,0.56,0.00,0.24,0.00,0.18,0.00,0.16,0.00,0.00,0.10,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
30,0,0.580,0.98,1,0.00,0.00,0.41,0.07,0.00,0.00,0.11,0.58,0.00,0.28,0.00,0.12,0.00,0.14,0.00,0.00,0.16,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
31,0,0.600,0.93,1,0.00,0.00,0.47,0.03,0.00,0.00,0.11,0.54,0.00,0.41,0.00,0.07,0.00,0.12,0.00,0.00,0.27,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
32,0,0.620,0.98,1,0.00,0.00,0.48,0.02,0.00,0.00,0.13,0.51,0.00,0.54,0.00,0.11,0.00,0.11,0.00,0.10,0.22,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
33,0,0.640,0.98,1,0.00,0.00,0.52,0.01,0.00,0.00,0.10,0.49,0.00,0.65,0.00,0.13,0.00,0.10,0.00,0.12,0.22,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
34,0,0.660,0.98,1,0.00,0.00,0.46,0.00,0.00,0.00,0.06,0.52,0.00,0.64,0.00,0.15,0.00,0.11,0.00,0.22,0.14,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
35,0,0.680,0.98,1,0.00,0.00,0.47,0.00,0.00,0.00,0.03,0.52,0.00,0.68,0.00,0.13,0.00,0.11,0.00,0.13,0.11,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
36,0,0.700,0.98,1,0.00,0.00,0.48,0.00,0.00,0.00,0.01,0.52,0.00,0.67,0.00,0.13,0.00,0.12,0.00,0.12,0.08,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
37,0,0.720,0.98,1,0.00,0.00,0.47,0.00,0.00,0.00,0.00,0.52,0.00,0.65,0.00,0.09,0.00,0.13,0.00,0.02,0.11,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
38,0,0.740,0.98,1,0.00,0.00,0.42,0.00,0.00,0.00,0.00,0.53,0.00,0.54,0.00,0.08,0.00,0.16,0.00,0.01,0.26,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
39,0,0.760,0.98,1,0.00,0.00,0.35,0.01,0.00,0.00,0.00,0.54,0.00,0.45,0.00,0.05,0.00,0.17,0.00,0.01,0.37,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
40,0,0.780,0.98,1,0.00,0.00,0.30,0.02,0.00,0.00,0.01,0.59,0.00,0.40,0.00,0.04,0.00,0.17,0.00,0.04,0.49,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
41,0,0.800,0.98,1,0.00,0.00,0.25,0.04,0.00,0.00,0.04,0.62,0.00,0.34,0.00,0.01,0.00,0.15,0.00,0.16,0.47,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
42,0,0.820,0.98,1,0.00,0.00,0.19,0.05,0.00,0.00,0.07,0.65,0.00,0.22,0.00,0.04,0.00,0.15,0.00,0.30,0.47,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
43,0,0.840,0.98,1,0.00,0.00,0.15,0.08,0.00,0.00,0.07,0.62,0.00,0.14,0.00,0.10,0.00,0.17,0.00,0.44,0.36,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
44,0,0.860,0.98,1,0.00,0.00,0.13,0.06,0.00,0.00,0.07,0.59,0.00,0.06,0.00,0.09,0.00,0.16,0.00,0.33,0.34,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
45,0,0.880,0.98,1,0.00,0.00,0.17,0.04,0.00,0.00,0.09,0.52,0.00,0.04,0.00,0.14,0.00,0.13,0.00,0.24,0.25,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
46,0,0.900,0.98,1,0.00,0.00,0.18,0.00,0.00,0.01,0.09,0.48,0.00,0.00,0.00,0.09,0.00,0.09,0.00,0.12,0.21,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47,0,0.920,0.98,1,0.00,0.00,0.21,0.00,0.00,0.04,0.10,0.44,0.00,0.07,0.00,0.09,0.00,0.05,0.00,0.11,0.09,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,0,0.940,0.93,1,0.00,0.00,0.26,0.06,0.00,0.10,0.10,0.49,0.00,0.20,0.00,0.03,0.00,0.05,0.00,0.06,0.06,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,0,0.960,0.93,1,0.00,0.00,0.30,0.08,0.00,0.17,0.13,0.42,0.00,0.28,0.00,0.04,0.00,0.06,0.00,0.01,0.02,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,0,0.980,0.98,1,0.00,0.00,0.33,0.08,0.00,0.22,0.10,0.35,0.00,0.36,0.00,0.09,0.00,0.08,0.00,0.00,0.02,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51,0,1.000,0.98,1,0.00,0.00,0.32,0.02,0.00,0.25,0.08,0.27,0.00,0.29,0.00,0.09,0.00,0.08,0.00,0.04,0.02,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52,0,1.020,0.98,1,0.00,0.00,0.34,0.00,0.00,0.33,0.03,0.33,0.00,0.31,0.00,0.07,0.00,0.04,0.08,0.07,0.08,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
53,0,1.040,0.93,1,0.00,0.00,0.36,0.00,0.00,0.52,0.04,0.38,0.00,0.25,0.00,0.09,0.00,0.06,0.14,0.13,0.10,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
54,0,1.060,0.98,1,0.00,0.00,0.40,0.00,0.00,0.66,0.06,0.39,0.00,0.25,0.00,0.13,0.00,0.05,0.25,0.14,0.10,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
55,0,1.080,0.98,1,0.00,0.00,0.36,0.00,0.00,0.68,0.06,0.35,0.00,0.22,0.00,0.18,0.00,0.05,0.26,0.11,0.09,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56,0,1.100,0.98,1,0.00,0.00,0.27,0.00,0.00,0.53,0.04,0.43,0.00,0.22,0.00,0.18,0.00,0.02,0.38,0.13,0.08,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
57,0,1.120,0.98,1,0.00,0.00,0.18,0.00,0.00,0.33,0.01,0.43,0.00,0.32,0.00,0.20,0.00,0.00,0.42,0.20,0.06,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
