frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.09,0.00,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
2,0,0.020,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.16,0.06,0.00,0.00,0.33,0.16,0.06,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
3,0,0.040,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.26,0.07,0.00,0.00,0.22,0.23,0.19,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
4,0,0.060,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.22,0.03,0.00,0.00,0.10,0.37,0.29,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
5,0,0.080,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.19,0.05,0.00,0.00,0.05,0.58,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
6,0,0.100,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.13,0.04,0.00,0.00,0.07,0.66,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
7,0,0.120,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.11,0.03,0.00,0.00,0.11,0.64,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
8,0,0.140,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.07,0.08,0.00,0.00,0.20,0.53,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
9,0,0.160,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.12,0.00,0.00,0.24,0.51,0.18,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
10,0,0.180,0.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.12,0.00,0.00,0.25,0.43,0.15,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
